Date,Campaign name,Cost (EUR),Impressions,Clicks (all),Post reactions,Post comments,Post shares,Post Saves,Page likes,Three-second video views,Engagement
2025-01-01,BODYHOUSE_Engagement_IG_Ville_Natio,"4,03",393,0,67,,,,,,67
2025-01-02,BODYHOUSE_Engagement_IG_Ville_VILLEFRANCHE,"0,62",184,0,1,,,,,73,1
2025-01-02,BODYHOUSE_Engagement_META_Ville_BIGANOS,"0,94",170,4,3,,,,,89,3
2025-01-02,BODYHOUSE_Engagment_IG_Ville_SAINTE-EULALIE,"4,54",1510,45,13,,,,,827,13
2025-01-02,BODYHOUSE_Engagment_IG_Ville_SALAISE,"6,28",729,8,29,1,,,,,30
2025-01-02,BODYHOUSE_Engagment_META_Ville_TIGNIEU,"1,37",661,21,13,,,,,398,13
2025-01-02,BODYHOUSE_Notoriety_FB_Ville_AVIGNON(NORD),"13,52",12708,28,1,,,,,473,1
2025-01-02,BODYHOUSE_Notoriety_FB_Ville_AVIGNON(SUD),"13,14",13179,28,3,1,,,,416,4
2025-01-02,BODYHOUSE_Notoriety_FB_Ville_GRENOBLE,"5,31",7930,14,,,1,,,227,1
2025-01-02,BODYHOUSE_Notoriety_FB_Ville_LYON,"3,5",7741,8,,,,,,213,0
2025-01-02,BODYHOUSE_Notoriety_FB_Ville_TIGNIEU,"3,61",6004,13,1,,,,,99,1
2025-01-02,BODYHOUSE_Notoriety_META_Ville_AUBIERE,"1,44",1956,4,,,,,,76,0
2025-01-02,BODYHOUSE_Notoriety_META_Ville_BIGANOS,"1,57",2578,2,,,,,,19,0
2025-01-02,BODYHOUSE_Notoriety_META_Ville_CHAMBERY,"3,31",3869,6,,,,,,168,0
2025-01-02,BODYHOUSE_Notoriety_META_Ville_JACOU,"2,49",1680,6,1,,,,,63,1
2025-01-02,BODYHOUSE_Notoriety_META_Ville_MONTELIMAR,"4,32",6743,10,,,,,,454,0
2025-01-02,BODYHOUSE_Notoriety_META_Ville_SAINTE-EULALIE,"5,05",7504,9,2,,,,,263,2
2025-01-02,BODYHOUSE_Notoriety_META_Ville_SALAISE,"5,08",5932,17,1,,,,,334,1
2025-01-02,BODYHOUSE_Notoriety_META_Ville_VALENCE,"3,72",3231,13,,,,,,133,0
2025-01-02,BODYHOUSE_Notoriety_META_Ville_VILLEFRANCHE,"2,47",2154,10,,,,,,107,0
2025-01-02,BODYHOUSE_Traffic_FB_Ville_GRENOBLE,"4,47",12700,53,,,,,,,0
2025-01-02,BODYHOUSE_Traffic_FB_Ville_LYON,"3,03",12458,36,,,,,,,0
2025-01-02,BODYHOUSE_Traffic_FB_Ville_TIGNIEU,"1,31",5280,17,,,,,,,0
2025-01-02,BODYHOUSE_Traffic_FB_ville_AVIGNON(NORD),"6,8",13707,41,,,,,,,0
2025-01-02,BODYHOUSE_Traffic_FB_ville_AVIGNON(SUD),"6,49",15751,56,,,,,,,0
2025-01-02,BODYHOUSE_Traffic_META_Ville_BIGANOS,"1,63",7225,18,,,,,,,0
2025-01-02,BODYHOUSE_Traffic_META_Ville_CHAMBERY,"1,29",6912,26,,,,,,,0
2025-01-02,BODYHOUSE_Traffic_META_Ville_MONTELIMAR,"1,23",3833,12,,,,,,,0
2025-01-02,BODYHOUSE_Traffic_META_Ville_SAINTE-EULALIE,"4,51",11848,45,1,,,,,,1
2025-01-02,BODYHOUSE_Traffic_META_Ville_SALAISE,"3,21",6568,44,,,,,,,0
2025-01-03,BODYHOUSE_Engagement_IG_Ville_VILLEFRANCHE,"3,19",904,2,,,,,,341,0
2025-01-03,BODYHOUSE_Engagement_META_Ville_BIGANOS,"3,61",1122,26,19,,,,,529,19
2025-01-03,BODYHOUSE_Engagment_IG_Ville_SAINTE-EULALIE,"12,29",4244,106,48,,,1,,2429,49
2025-01-03,BODYHOUSE_Engagment_IG_Ville_SALAISE,"9,92",1156,14,54,,,2,,,56
2025-01-03,BODYHOUSE_Engagment_META_Ville_TIGNIEU,"3,56",1412,35,18,,,,,873,18
2025-01-03,BODYHOUSE_Notoriety_FB_Ville_AVIGNON(NORD),"16,72",20680,25,2,,,,,827,2
2025-01-03,BODYHOUSE_Notoriety_FB_Ville_AVIGNON(SUD),"16,51",20584,33,1,,,,,776,1
2025-01-03,BODYHOUSE_Notoriety_FB_Ville_GRENOBLE,"6,6",11713,17,1,,,,,362,1
2025-01-03,BODYHOUSE_Notoriety_FB_Ville_LYON,"5,11",12020,11,2,,,,,441,2
2025-01-03,BODYHOUSE_Notoriety_FB_Ville_TIGNIEU,"9,1",14750,27,4,,,,,86,4
2025-01-03,BODYHOUSE_Notoriety_META_Ville_AUBIERE,7,9948,14,,,,,,427,0
2025-01-03,BODYHOUSE_Notoriety_META_Ville_BIGANOS,"7,34",12398,6,1,,,,,123,1
2025-01-03,BODYHOUSE_Notoriety_META_Ville_CHAMBERY,"6,97",12635,8,3,,,,,396,3
2025-01-03,BODYHOUSE_Notoriety_META_Ville_JACOU,"6,76",10373,17,1,,,,,385,1
2025-01-03,BODYHOUSE_Notoriety_META_Ville_MONTELIMAR,"10,64",16069,20,1,,,,,951,1
2025-01-03,BODYHOUSE_Notoriety_META_Ville_SAINTE-EULALIE,"12,31",21351,12,3,,,,,705,3
2025-01-03,BODYHOUSE_Notoriety_META_Ville_SALAISE,"6,71",12092,17,3,,,,,526,3
