"Nom de la campagne","Date","Coût (EUR)","Portée","Impressions","CPM (coût pour 1000 impressions)","Clics (tous)","CTR (tous)","Fréquence","J'aime la page","Commentaires sur les publications","Réactions aux publications","Partages de publications","Enregistrements de publications"
"Bons cadeaux Noël","2025-12-05","0,33","1086","1142","0,29","3","0,26","1,05","","","","",""
"Bons cadeaux Noël","2025-12-06","5,87","7486","7535","0,78","20","0,27","1,01","","","1","1",""
"Bons cadeaux Noël","2025-12-07","7,66","10347","10406","0,74","24","0,23","1,01","","","2","",""
"Bons cadeaux Noël","2025-12-08","8,04","9395","9643","0,83","11","0,11","1,03","","","","",""
"Bons cadeaux Noël","2025-12-09","7,99","8955","9208","0,87","22","0,24","1,03","","","6","",""
"Bons cadeaux Noël","2025-12-10","7,64","8337","8548","0,89","16","0,19","1,03","","","4","",""
"Bons cadeaux Noël","2025-12-11","7,71","7883","8253","0,93","14","0,17","1,05","","","","",""
"Bons cadeaux Noël","2025-12-12","7,93","7837","7911","1","8","0,1","1,01","","","","",""
"Bons cadeaux Noël","2025-12-13","8,87","8957","9363","0,95","23","0,25","1,05","","","2","",""
"Bons cadeaux Noël","2025-12-14","8,81","9341","9875","0,89","17","0,17","1,06","","","","",""
"Bons cadeaux Noël","2025-12-15","7,93","8995","9241","0,86","7","0,08","1,03","","","","",""
"Bons cadeaux Noël","2025-12-16","7,81","8559","8927","0,87","18","0,2","1,04","","","1","",""
"Bons cadeaux Noël","2025-12-17","7,73","8531","8723","0,89","23","0,26","1,02","","","4","",""
"Bons cadeaux Noël","2025-12-18","7,94","8540","8796","0,9","13","0,15","1,03","","","2","",""
"Bons cadeaux Noël","2025-12-19","7,89","8575","9042","0,87","12","0,13","1,05","","","4","",""
"Bons cadeaux Noël","2025-12-20","8,83","10261","10619","0,83","25","0,24","1,03","","","1","",""
"Bons cadeaux Noël","2025-12-21","8,76","11499","12024","0,73","27","0,22","1,05","","","1","",""
"Bons cadeaux Noël","2025-12-22","7,51","10808","11207","0,67","20","0,18","1,04","","","2","",""
"Bons cadeaux Noël","2025-12-23","7,45","9513","10226","0,73","9","0,09","1,07","","","1","",""
"Bons cadeaux Noël","2025-12-24","7,29","9683","9847","0,74","13","0,13","1,02","","","2","",""
"CMB Bourges_Notoriété_META_2024","2025-01-01","9,9","16924","17895","0,55","107","0,6","1,06","1","","8","4",""
"CMB Bourges_Notoriété_META_2024","2025-01-02","9,56","15816","15816","0,6","107","0,68","1","","","6","3",""
"CMB Bourges_Notoriété_META_2024","2025-01-03","9,66","13926","13926","0,69","114","0,82","1","","","6","3",""
"CMB Bourges_Notoriété_META_2024","2025-01-04","9,68","13422","13428","0,72","100","0,74","1","","1","11","","1"
"CMB Bourges_Notoriété_META_2024","2025-01-05","11,02","14336","14943","0,74","131","0,88","1,04","1","1","14","2","1"
"CMB Bourges_Notoriété_META_2024","2025-01-06","10,73","14523","15017","0,71","80","0,53","1,03","1","1","7","2",""
"CMB Bourges_Notoriété_META_2024","2025-01-07","9,82","13968","13982","0,7","76","0,54","1","","1","6","2","2"
"CMB Bourges_Notoriété_META_2024","2025-01-08","9,44","12252","12555","0,75","91","0,72","1,02","2","","9","",""
"CMB Bourges_Notoriété_META_2024","2025-01-09","8,94","9880","9936","0,9","107","1,08","1,01","","1","9","2",""
"CMB Bourges_Notoriété_META_2024","2025-01-10","10","11447","11738","0,85","72","0,61","1,03","","","12","2",""
"CMB Bourges_Notoriété_META_2024","2025-01-11","10,05","11630","11855","0,85","97","0,82","1,02","2","2","11","2",""
"CMB Bourges_Notoriété_META_2024","2025-01-12","10,9","12718","12903","0,84","100","0,78","1,01","1","1","16","2",""
"CMB Bourges_Notoriété_META_2024","2025-01-13","10,04","11169","11550","0,87","70","0,61","1,03","","","7","2",""
"CMB Bourges_Notoriété_META_2024","2025-01-14","9,87","11483","11774","0,84","80","0,68","1,03","2","","9","1",""
"CMB Bourges_Notoriété_META_2024","2025-01-15","9,61","11045","11376","0,84","56","0,49","1,03","","1","10","1","1"
"CMB Bourges_Notoriété_META_2024","2025-01-16","9,64","11687","12054","0,8","61","0,51","1,03","","","3","",""
"CMB Bourges_Notoriété_META_2024","2025-01-17","9,72","13646","13683","0,71","48","0,35","1","","","5","1",""
