"Date","Page title","Sessions","Total users","Average session length (sec)","Bounce rate"
"2025-01-01","Carte Formules restaurant Mamie Bigoude","35","32","26,03","0,29"
"2025-01-01","Carte Galettes restaurant Mamie Bigoude","60","55","38,5","0,08"
"2025-01-01","Carte Salades restaurant Mamie Bigoude","5","4","15,2","0,2"
"2025-01-01","Carte crêpes restaurant Mamie Bigoude","14","14","33,79","0"
"2025-01-01","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","158","143","23,14","0,2"
"2025-01-01","Devenir franchisé Comptoir Mamie Bigoude","17","17","23,65","0,65"
"2025-01-01","Restaurant Breton Mamie Bigoude Blois","13","12","31,85","0,08"
"2025-01-01","Restaurant Breton Mamie Bigoude Bourges","46","39","16,48","0,33"
"2025-01-01","Restaurant Breton Mamie Bigoude Orléans","7","6","10,71","0,29"
"2025-01-01","Restaurant Breton Mamie Bigoude Tours","10","9","53,3","0"
"2025-01-01","Univers Comptoir Mamie Bigoude","12","11","29","0,08"
"2025-01-02","Breton Restaurant Mamie Bigoude Blois","1","1","27","0"
"2025-01-02","Carte Formules restaurant Mamie Bigoude","93","89","30,61","0,1"
"2025-01-02","Carte Galettes restaurant Mamie Bigoude","156","143","48,78","0,07"
"2025-01-02","Carte Salades restaurant Mamie Bigoude","42","41","19,83","0,02"
"2025-01-02","Carte crêpes restaurant Mamie Bigoude","66","61","31,06","0,03"
"2025-01-02","Comptoir Mamie Bigoude - Creperie in Amboise, Tours, Orléans, Blois","1","1","10","0"
"2025-01-02","Comptoir Mamie Bigoude - Crepería en Amboise, Tours, Orleans, Blois","2","2","69","0,5"
"2025-01-02","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","307","290","24,13","0,26"
"2025-01-02","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois et Bourges","1","1","15","0"
"2025-01-02","Devenir franchisé Comptoir Mamie Bigoude","55","54","21,09","0,45"
"2025-01-02","Menú del restaurante Galettes Mamie Bigoude","1","1","29","0"
"2025-01-02","Restaurant Breton Mamie Bigoude Blois","20","19","15,4","0,15"
"2025-01-02","Restaurant Breton Mamie Bigoude Bourges","114","95","23,06","0,25"
"2025-01-02","Restaurant Breton Mamie Bigoude Orléans","15","14","36,27","0,07"
"2025-01-02","Restaurant Breton Mamie Bigoude Tours","25","24","19,76","0,24"
"2025-01-02","Univers Comptoir Mamie Bigoude","37","30","29,46","0,16"
"2025-01-03","Carte Formules restaurant Mamie Bigoude","101","92","39","0,08"
"2025-01-03","Carte Galettes restaurant Mamie Bigoude","151","139","52,28","0,09"
"2025-01-03","Carte Salades restaurant Mamie Bigoude","38","37","23,92","0,03"
"2025-01-03","Carte crêpes restaurant Mamie Bigoude","71","69","42,63","0,01"
"2025-01-03","Comptoir Mamie Bigoude - Crepería en Amboise, Tours, Orleans, Blois","2","2","42,5","0"
"2025-01-03","Comptoir Mamie Bigoude - Crêperie in Amboise, Tours, Orleans, Blois","1","1","20","0"
"2025-01-03","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","308","291","22,47","0,28"
"2025-01-03","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois et Bourges","3","3","33,33","0"
"2025-01-03","Devenir franchisé Comptoir Mamie Bigoude","46","43","24,8","0,35"
