"Nom de la campagne","Date","Coût (EUR)","Portée","Impressions","CPM (coût pour 1000 impressions)","Clics (tous)","CTR (tous)","Fréquence","J'aime la page","Commentaires sur les publications","Réactions aux publications","Partages de publications","Enregistrements de publications"
"CMB Nîmes_Engagement_META_2026","2026-02-05","3,13","3186","3294","0,95","327","9,93","1,03","2","","21","6","3"
"CMB Nîmes_Engagement_META_2026","2026-02-06","7,34","7179","7562","0,97","590","7,8","1,05","8","3","33","6","6"
"CMB Nîmes_Engagement_META_2026","2026-02-07","8,63","6555","7058","1,22","546","7,74","1,08","9","6","32","10","4"
"CMB Nîmes_Engagement_META_2026","2026-02-08","8,65","6761","7229","1,2","458","6,34","1,07","7","2","27","8","5"
"CMB Nîmes_Engagement_META_2026","2026-02-09","8,19","6450","6700","1,22","333","4,97","1,04","2","2","18","2","1"
"CMB Nîmes_Engagement_META_2026","2026-02-10","6,32","4908","4998","1,26","284","5,68","1,02","3","1","13","4","1"
"CMB Nîmes_Notoriété_META_2026","2026-02-05","3,12","5551","5633","0,55","32","0,57","1,01","","","2","",""
"CMB Nîmes_Notoriété_META_2026","2026-02-06","7,58","12022","12388","0,61","54","0,44","1,03","","","4","1",""
"CMB Nîmes_Notoriété_META_2026","2026-02-07","8,39","12744","12784","0,66","72","0,56","1","1","2","8","","2"
"CMB Nîmes_Notoriété_META_2026","2026-02-08","8,77","13045","13463","0,65","58","0,43","1,03","1","1","10","3",""
"CMB Nîmes_Notoriété_META_2026","2026-02-09","7,95","12086","12238","0,65","35","0,29","1,01","1","","5","",""
"CMB Nîmes_Notoriété_META_2026","2026-02-10","6,34","9145","9548","0,66","48","0,5","1,04","1","","2","",""
"CMB Nîmes_Trafic_META_2026","2026-02-05","3,64","1418","1633","2,23","241","14,76","1,15","24","3","29","3","6"
"CMB Nîmes_Trafic_META_2026","2026-02-06","7,13","2978","3599","1,98","546","15,17","1,21","49","9","59","15","5"
"CMB Nîmes_Trafic_META_2026","2026-02-07","8,23","2997","3494","2,36","436","12,48","1,17","31","7","40","5","3"
"CMB Nîmes_Trafic_META_2026","2026-02-08","8,44","2853","3251","2,6","356","10,95","1,14","17","3","58","7","4"
"CMB Nîmes_Trafic_META_2026","2026-02-09","7,9","2325","2621","3,01","249","9,5","1,13","15","4","31","4","4"
"CMB Nîmes_Trafic_META_2026","2026-02-10","6,89","2004","2300","3","245","10,65","1,15","15","2","18","","2"
